YMD,REGION_ID,BEGIN_WEATHER,END_WEATHER,WIND_VELOCITY,RAIN_PROBABILITY,HIGH_TEMP,LOW_TEMP,MAX_VALUE,MIN_VALUE,AVG_VALUE,FAULT_COUNT_TOTAL
20141201,1,5,5,3,30,4,9,1752521000.000000,758044010.000000,1331970087.770035,255
20141202,1,5,5,4,10,2,9,1816290040.000000,787419010.000000,1347870657.979094,388
20141203,1,5,0,4,70,4,9,1790358030.000000,865388000.000000,1419069582.847222,395
20141204,1,5,5,2,10,2,7,1959761960.000000,895231990.000000,1509951875.694444,471
20141205,1,5,5,4,10,1,7,1978548950.000000,937098020.000000,1548483479.027778,488
20141206,1,6,5,4,10,2,10,1918535030.000000,988007020.000000,1481921328.593750,447
20141207,1,4,5,4,40,5,13,2003958980.000000,1014724000.000000,1487750118.414634,432
20141208,1,5,5,4,20,5,10,2008415040.000000,990291020.000000,1593626673.036437,416
20141209,1,4,4,4,40,7,12,2089814940.000000,967737000.000000,1640962681.666667,379
20141210,1,4,4,4,70,9,13,1997599000.000000,1009359990.000000,1581917774.251969,344
20141211,1,4,4,2,40,6,9,2086010990.000000,991939030.000000,1631517260.000000,380
20141212,1,5,6,2,10,2,8,2226566890.000000,1011208980.000000,1727324640.526316,405
20141213,1,6,6,4,10,1,7,1978788940.000000,1048800050.000000,1593857020.404858,460
20141214,1,6,5,4,10,2,10,2010881960.000000,1031772950.000000,1545672862.041667,467
20141215,1,4,4,2,40,5,13,2174552980.000000,1020521970.000000,1709753197.926829,443
20141216,1,5,5,3,10,2,5,2326907960.000000,1019991030.000000,1789172794.142259,498
20141217,1,5,5,2,20,0,6,2421664060.000000,1078062010.000000,1873190229.214876,617
20141218,1,5,4,4,20,1,9,2316353030.000000,1212223020.000000,1861092417.735043,551
20141219,1,4,5,4,60,6,11,2166868900.000000,1098531010.000000,1707513554.122807,472
20141220,1,5,5,2,10,4,9,1817255000.000000,1027755980.000000,1474681195.478261,437
20141221,1,5,5,2,20,2,6,2038646970.000000,981406980.000000,1461824004.380531,554
20141222,1,5,5,4,10,0,7,2238219970.000000,1069491940.000000,1786707075.545455,530
20141223,1,5,5,4,20,3,12,2178351070.000000,1133849980.000000,1755478185.560748,475
20141224,1,6,5,4,10,5,12,2082595950.000000,1068734990.000000,1686393621.171171,413
20141225,1,5,4,4,30,5,9,2072562990.000000,1078483030.000000,1685282980.904762,426
20141226,1,5,5,4,30,5,10,2135022950.000000,1089782960.000000,1736482500.349345,344
20141227,1,5,5,4,20,6,11,1951833010.000000,1065417970.000000,1571906864.042553,368
20141228,1,5,6,4,10,5,12,1906913940.000000,1060208010.000000,1494925645.034722,440
20141229,1,5,5,4,10,5,13,2090031980.000000,1011257020.000000,1656202766.542056,367
20141230,1,5,5,4,10,6,14,2024032960.000000,1044488040.000000,1627993621.578947,325
20141231,1,5,5,3,10,4,11,1957630000.000000,1014534000.000000,1596195239.215686,359
20150101,1,5,5,2,10,0,4,2040337040.000000,1013687990.000000,1587257997.926267,380
20150102,1,5,5,4,10,-1,8,2116148930.000000,1086902950.000000,1627789939.805825,315
20150103,1,5,5,4,20,3,10,1915437990.000000,1058624020.000000,1495187216.354680,379
20150104,1,5,5,4,10,4,16,1957862060.000000,1028567020.000000,1575624544.433962,340
20150105,1,4,4,4,60,9,19,1933156980.000000,962752990.000000,1530394778.578431,308
20150106,1,0,0,2,80,4,8,2207232910.000000,928320980.000000,1700985672.132867,394
20150107,1,4,5,2,30,3,7,2251879880.000000,1066886960.000000,1726307060.962343,355
20150108,1,5,5,4,10,2,8,2181487060.000000,1113083980.000000,1762358981.890547,411
20150109,1,5,5,4,10,2,11,2192261960.000000,1119727050.000000,1754371651.456311,323
20150110,1,5,5,4,10,4,13,1882432980.000000,1063892940.000000,1512990453.888889,414
20150111,1,5,5,4,10,4,14,1866269040.000000,1028551030.000000,1469148092.110553,319
20150112,1,4,4,4,20,5,9,2102391110.000000,1010284970.000000,1674613948.954704,482
20150113,1,4,4,4,80,6,10,2135685060.000000,1061218990.000000,1709606300.659722,478
20150114,1,4,4,2,90,7,10,2121737060.000000,1064651980.000000,1706205013.333333,426
20150115,1,4,4,4,90,7,9,2098711910.000000,1087928960.000000,1701093398.576389,346
20150116,1,4,4,4,30,4,10,2200136960.000000,1065587040.000000,1736289067.604167,524
20150117,1,5,5,4,30,4,6,1960385990.000000,1035113040.000000,1540415716.631944,422
20150118,1,5,5,4,30,3,10,1865968020.000000,1029045040.000000,1474481645.659722,421
20150119,1,5,5,4,20,3,10,2163499020.000000,1040640990.000000,1707462170.451389,370
20150120,1,4,4,4,60,5,10,2136560060.000000,1053094970.000000,1707155451.909722,334
20150121,1,5,4,2,60,7,14,2084110110.000000,1063583010.000000,1676975128.055556,291
20150122,1,4,5,2,40,4,8,2200146970.000000,1060079960.000000,1727763148.819444,325
20150123,1,5,5,4,10,2,10,2126373050.000000,1084941040.000000,1703107238.125000,291
20150124,1,5,4,2,30,6,15,1768157960.000000,1041227050.000000,1452233620.937500,286
20150125,1,4,4,4,90,10,16,1800779050.000000,924004030.000000,1393412051.597222,271
